,player_name,total_points,position
247,Avery Bradley,467.4000000000001,SF
248,Eric Gordon,538.2,SG
248,Eric Gordon,538.2,SF
249,Kent Bazemore,460.80000000000007,SG
249,Kent Bazemore,460.80000000000007,SF
250,Sekou Doumbouya,564.9,SF
250,Sekou Doumbouya,564.9,PF
251,Ish Smith,532.2,PG
252,Dewayne Dedmon,493.59999999999997,C
253,Taj Gibson,526.1999999999999,PF
253,Taj Gibson,526.1999999999999,C
254,Austin Rivers,571.3999999999999,PG
254,Austin Rivers,571.3999999999999,SG
255,Ben McLemore,477.9000000000001,SG
255,Ben McLemore,477.9000000000001,SF
256,Wesley Matthews,504.40000000000003,SG
256,Wesley Matthews,504.40000000000003,SF
257,Keldon Johnson,490.4,SF
258,Kyle Anderson,526.1,SF
258,Kyle Anderson,526.1,PF
259,D.J. Augustin,460.2,PG
260,Landry Shamet,455.6999999999999,PG
260,Landry Shamet,455.6999999999999,SG
261,Aleksej Pokusevski,470.3999999999999,SF
262,Wes Iwundu,538.9,SG
262,Wes Iwundu,538.9,SF
263,Trey Lyles,558.6,PF
263,Trey Lyles,558.6,C
264,Marquese Chriss,474.5,PF
264,Marquese Chriss,474.5,C
265,Facundo Campazzo,388.6,PG
266,Jeff Green,444.3,SF
266,Jeff Green,444.3,PF
266,Jeff Green,444.3,C
267,Grant Williams,451.8,SF
267,Grant Williams,451.8,PF
268,Taurean Prince,430.0999999999999,SF
268,Taurean Prince,430.0999999999999,PF
269,Torrey Craig,479.8,SG
269,Torrey Craig,479.8,SF
270,Kris Dunn,394.5,PG
270,Kris Dunn,394.5,SG
271,Alex Len,516.6999999999999,PF
271,Alex Len,516.6999999999999,C
272,Ersan Ilyasova,526.2,SF
272,Ersan Ilyasova,526.2,PF
273,Naz Reid,516.1999999999999,C
274,Reggie Bullock,433.80000000000007,SG
274,Reggie Bullock,433.80000000000007,SF
275,Trey Burke,483.0000000000001,PG
276,Cody Martin,489.5999999999999,SG
276,Cody Martin,489.5999999999999,SF
277,Reggie Jackson,504.9999999999999,PG
277,Reggie Jackson,504.9999999999999,SG
278,DeMarcus Cousins,400.8,PF
278,DeMarcus Cousins,400.8,C
279,Kevin Knox,486.6,SF
279,Kevin Knox,486.6,PF
280,Dwight Howard,608.4,C
281,Robin Lopez,371.40000000000003,C
282,Malik Monk,375.29999999999995,PG
282,Malik Monk,375.29999999999995,SG
283,Boban Marjanovic,460.49999999999994,C
284,Nickeil Alexander-Walker,364.2,SG
284,Nickeil Alexander-Walker,364.2,SF
285,Dennis Smith,455.29999999999984,PG
286,Garrett Temple,350.49999999999994,PG
286,Garrett Temple,350.49999999999994,SG
287,Thon Maker,396.5,PF
287,Thon Maker,396.5,C
288,Willie Cauley-Stein,358.0,PF
288,Willie Cauley-Stein,358.0,C
289,Rajon Rondo,357.5,PG
290,Nassir Little,421.20000000000005,SF
291,Cole Anthony,343.40000000000003,PG
